transaction_id,client_id,country,amount,transaction_type,risk_score,transaction_date
T00001,C807,Turkey,240.36,POS,52,2025-03-30 00:11:00
T00002,C567,Turkey,7545.92,ATM,17,2025-03-07 20:00:00
T00003,C843,UK,327.78,ATM,27,2025-03-05 02:01:00
T00004,C990,Germany,1655.23,Transfer,53,2025-11-07 15:21:00
T00005,C373,UK,7154.63,Transfer,14,2025-09-28 23:57:00
T00006,C313,UAE,9770.26,ATM,61,2025-03-16 11:44:00
T00007,C949,Morocco,8990.34,POS,76,2025-01-15 19:11:00
T00008,C284,Canada,8374.27,ATM,20,2025-09-01 00:31:00
T00009,C327,Turkey,8988.88,ATM,15,2025-01-16 10:24:00
T00010,C455,Canada,6840.57,ATM,38,2025-08-20 23:51:00
T00011,C992,USA,9229.96,ATM,40,2025-04-24 09:20:00
T00012,C250,UAE,633.81,Online,35,2025-09-22 02:26:00
T00013,C808,Canada,5819.57,Online,62,2025-03-31 23:43:00
T00014,C896,UAE,2950.31,ATM,49,2025-06-19 11:56:00
T00015,C299,China,508.62,ATM,78,2025-12-16 15:20:00
T00016,C119,Turkey,4768.63,Card,24,2025-08-04 02:29:00
T00017,C965,Germany,8896.45,Transfer,46,2025-01-20 17:55:00
T00018,C641,UAE,867.35,Transfer,71,2025-10-16 16:39:00
T00019,C102,China,2922.52,POS,19,2025-10-06 20:06:00
T00020,C794,Germany,5153.88,Transfer,30,2025-09-28 03:27:00
T00021,C944,Morocco,7624.53,POS,54,2025-04-11 20:35:00
T00022,C324,Spain,2518.75,Online,49,2025-09-27 21:37:00
T00023,C989,Canada,7108.39,ATM,46,2025-11-08 02:15:00
T00024,C423,Canada,2253.88,ATM,41,2025-09-10 07:56:00
T00025,C792,Morocco,2845.1,Card,70,2025-06-16 05:15:00
T00026,C782,Turkey,4235.77,Card,57,2025-05-27 09:52:00
T00027,C634,Morocco,3355.73,POS,51,2025-04-16 19:17:00
T00028,C599,Morocco,134.35,POS,47,2025-10-18 20:11:00
T00029,C932,China,2320.47,Online,48,2025-12-30 13:29:00
T00030,C102,Germany,3980.47,Card,50,2025-03-10 08:12:00
T00031,C964,UK,1902.46,Transfer,30,2025-09-05 01:52:00
T00032,C470,Spain,8505.86,Card,69,2025-12-19 06:07:00
T00033,C420,UK,149.35,Card,56,2025-02-11 19:10:00
T00034,C827,UAE,6627.55,POS,62,2025-03-22 11:10:00
T00035,C153,China,9793.77,Online,63,2025-12-19 01:11:00
T00036,C306,USA,6685.83,ATM,57,2025-11-11 14:50:00
T00037,C632,UAE,9270.53,ATM,14,2025-02-11 20:31:00
T00038,C107,UAE,1376.89,Online,53,2025-12-28 08:50:00
T00039,C160,UK,5202.22,Card,71,2025-11-11 07:13:00
T00040,C318,UAE,9388.45,Card,73,2025-03-10 10:51:00
T00041,C616,USA,3586.1,POS,70,2025-04-01 09:06:00
T00042,C738,USA,8969.5,Transfer,19,2025-07-15 18:27:00
T00043,C215,Germany,5922.2,Transfer,20,2025-07-03 09:31:00
T00044,C817,Morocco,3923.18,Online,39,2025-10-12 05:25:00
T00045,C557,Germany,5013.19,Transfer,17,2025-04-28 18:49:00
T00046,C295,Canada,36143.18,Transfer,80,2025-01-31 06:20:00
T00047,C897,Germany,7122.32,Card,61,2025-12-28 15:48:00
T00048,C729,Turkey,7386.26,POS,22,2025-01-07 05:46:00
T00049,C984,USA,8279.82,Online,71,2025-12-05 20:58:00
T00050,C887,USA,7935.67,POS,52,2025-07-11 20:31:00
T00051,C114,France,6576.05,ATM,35,2025-02-19 03:51:00
T00052,C900,Morocco,3368.39,POS,65,2025-01-26 16:45:00
T00053,C430,UAE,5358.57,ATM,59,2025-04-25 15:39:00
T00054,C948,Morocco,551.18,POS,19,2025-09-13 20:32:00
T00055,C615,UK,577.32,Card,51,2025-04-25 14:01:00
T00056,C762,Canada,8090.04,Online,72,2025-12-13 15:43:00
T00057,C269,Spain,5502.45,POS,77,2025-12-10 09:01:00
T00058,C382,UAE,9840.88,Card,44,2025-04-11 23:38:00
T00059,C571,Turkey,5681.27,ATM,20,2025-03-29 13:11:00
T00060,C187,Turkey,3989.2,ATM,14,2025-07-25 02:41:00
T00061,C517,Canada,2986.78,ATM,44,2025-12-31 07:12:00
T00062,C192,China,9546.63,Transfer,67,2025-09-21 05:55:00
T00063,C533,USA,42628.08,POS,85,2025-09-22 12:07:00
T00064,C370,Morocco,6746.54,Transfer,75,2025-12-11 22:45:00
T00065,C120,UK,8175.74,Online,10,2025-01-03 16:30:00
T00066,C485,Germany,2730.53,ATM,24,2025-11-29 01:17:00
T00067,C335,China,2666.01,POS,18,2025-11-08 20:42:00
T00068,C206,UK,2205.43,ATM,54,2025-01-26 05:49:00
T00069,C997,Spain,8912.45,Transfer,42,2025-11-16 19:08:00
T00070,C260,Canada,7881.14,ATM,45,2025-01-21 15:53:00
T00071,C810,Germany,6320.14,Online,35,2025-04-10 06:15:00
T00072,C515,Morocco,2095.65,Transfer,43,2025-11-11 20:57:00
T00073,C815,UAE,8135.17,Transfer,17,2025-12-01 12:57:00
T00074,C172,UK,8223.14,POS,78,2025-10-01 06:48:00
T00075,C624,Turkey,3908.89,Card,41,2025-04-19 16:20:00
T00076,C482,France,4675.2,POS,34,2025-03-19 17:57:00
T00077,C490,UAE,8311.27,Transfer,74,2025-09-25 02:57:00
T00078,C936,Canada,28967.38,POS,81,2025-01-28 04:27:00
T00079,C730,Morocco,2323.83,Card,24,2025-12-03 17:50:00
T00080,C579,USA,4306.06,ATM,55,2025-05-08 08:30:00
T00081,C209,Canada,8353.23,ATM,37,2025-05-24 02:24:00
T00082,C438,Turkey,5419.04,POS,13,2025-11-17 17:10:00
T00083,C381,USA,8166.04,Card,26,2025-09-19 20:38:00
T00084,C266,Germany,34348.91,POS,88,2025-10-01 17:56:00
T00085,C955,France,6812.45,ATM,24,2025-07-31 03:54:00
T00086,C646,Turkey,5904.38,Transfer,35,2025-06-01 16:22:00
T00087,C227,France,8375.58,Transfer,36,2025-05-06 01:51:00
T00088,C980,China,9122.12,Transfer,26,2025-12-17 10:57:00
T00089,C628,France,47956.26,ATM,93,2025-02-05 11:02:00
T00090,C547,USA,1464.44,Card,51,2025-11-04 17:42:00
T00091,C773,France,45978.74,Online,99,2025-07-27 08:40:00
T00092,C292,France,9361.09,Online,64,2025-10-30 18:34:00
T00093,C794,France,5960.78,Transfer,13,2025-01-21 11:22:00
T00094,C937,UAE,1734.83,Online,38,2025-03-09 08:31:00
T00095,C246,Turkey,5195.87,ATM,69,2025-03-15 19:54:00
T00096,C611,Spain,5513.31,Online,30,2025-11-30 00:17:00
T00097,C184,UK,6083.29,ATM,28,2025-12-20 16:16:00
T00098,C985,Turkey,319.45,Online,34,2025-11-29 16:33:00
T00099,C834,USA,87.22,ATM,7,2025-06-19 07:02:00
T00100,C531,UK,6985.96,Transfer,61,2025-02-19 08:57:00
T00101,C427,Morocco,3996.24,Online,29,2025-01-30 04:12:00
T00102,C956,Morocco,9133.66,Transfer,8,2025-05-24 11:51:00
T00103,C363,USA,1206.66,ATM,57,2025-08-14 10:55:00
T00104,C581,France,3410.98,POS,61,2025-04-14 03:51:00
T00105,C519,Canada,9768.51,ATM,60,2025-11-29 07:58:00
T00106,C604,France,5000.76,ATM,7,2025-11-02 09:12:00
T00107,C832,Morocco,1242.71,ATM,75,2025-01-01 00:10:00
T00108,C982,Canada,8896.09,ATM,31,2025-12-16 13:41:00
T00109,C849,Canada,6751.66,POS,10,2025-08-15 17:51:00
T00110,C966,Germany,2258.95,Transfer,14,2025-08-08 05:35:00
T00111,C310,Turkey,5801.69,Transfer,14,2025-03-02 14:05:00
T00112,C210,UK,2458.03,Transfer,47,2025-11-23 15:58:00
T00113,C313,Morocco,3043.35,ATM,69,2025-01-08 23:14:00
T00114,C686,UAE,143.54,POS,50,2025-02-06 23:33:00
T00115,C443,Germany,21651.33,Online,84,2025-01-27 10:49:00
T00116,C975,Morocco,5065.46,Transfer,35,2025-05-09 14:56:00
T00117,C962,China,1628.16,POS,18,2025-12-17 04:39:00
T00118,C352,France,41356.11,POS,80,2025-06-27 02:06:00
T00119,C273,UAE,7629.42,ATM,78,2025-05-09 19:09:00
T00120,C900,Canada,1373.72,ATM,43,2025-10-27 04:17:00
T00121,C466,China,9681.71,Card,78,2025-08-08 19:58:00
T00122,C798,France,8896.89,Online,79,2025-08-28 20:01:00
T00123,C946,Turkey,3942.31,Card,35,2025-10-25 22:15:00
T00124,C292,China,8941.91,ATM,40,2025-12-06 06:42:00
T00125,C859,Turkey,8011.29,ATM,12,2025-03-06 20:46:00
T00126,C313,UK,4879.85,Online,13,2025-05-09 01:52:00
T00127,C835,Turkey,1854.66,Online,79,2025-11-26 17:53:00
T00128,C289,Canada,3444.49,Card,26,2025-10-22 04:21:00
T00129,C743,UAE,8247.25,ATM,64,2025-01-11 20:31:00
T00130,C588,France,3012.53,POS,16,2025-06-29 21:06:00
T00131,C276,China,4125.39,Online,39,2025-05-07 19:36:00
T00132,C509,Germany,9180.0,Transfer,69,2025-05-26 05:29:00
T00133,C107,Germany,1761.52,ATM,49,2025-03-18 23:44:00
T00134,C662,UAE,7583.56,POS,38,2025-07-14 03:05:00
T00135,C664,Canada,723.92,Transfer,31,2025-04-07 23:27:00
T00136,C792,Spain,3298.2,Card,39,2025-06-14 02:17:00
T00137,C861,France,8293.53,Transfer,22,2025-03-07 11:03:00
T00138,C280,Spain,37285.41,Transfer,98,2025-04-17 15:34:00
T00139,C645,Turkey,10499.6,ATM,89,2025-11-16 13:21:00
T00140,C907,UK,5679.71,POS,40,2025-01-24 02:33:00
T00141,C210,France,11831.2,Online,81,2025-04-18 21:45:00
T00142,C896,Turkey,29211.4,POS,99,2025-01-21 15:55:00
T00143,C733,Germany,6414.94,POS,75,2025-04-03 16:04:00
T00144,C314,Morocco,8898.22,Card,15,2025-06-05 13:48:00
T00145,C136,France,4683.5,Card,17,2025-06-15 12:18:00
T00146,C414,China,8258.28,Card,76,2025-02-15 05:45:00
T00147,C387,UAE,2336.52,Transfer,56,2025-05-11 03:08:00
T00148,C353,China,4447.33,Online,39,2025-11-06 06:48:00
T00149,C554,Spain,3713.34,Transfer,65,2025-04-24 20:39:00
T00150,C898,Canada,6735.51,POS,39,2025-09-07 22:33:00
T00151,C120,Morocco,2116.46,ATM,23,2025-07-18 15:30:00
T00152,C238,Turkey,142.24,ATM,51,2025-03-26 14:27:00
T00153,C403,UK,37679.3,POS,86,2025-11-11 13:03:00
T00154,C652,China,1688.22,Card,13,2025-08-28 05:26:00
T00155,C690,Spain,57.71,POS,53,2025-11-07 10:47:00
T00156,C225,USA,2479.38,Online,36,2025-09-18 15:18:00
T00157,C719,China,2461.55,Online,73,2025-03-22 01:22:00
T00158,C549,UK,62.34,POS,32,2025-06-11 08:52:00
T00159,C628,France,1377.21,ATM,19,2025-07-07 11:10:00
T00160,C349,UAE,2631.78,POS,63,2025-03-22 19:22:00
T00161,C389,China,2954.75,ATM,44,2025-05-15 03:18:00
T00162,C875,USA,8727.16,Online,44,2025-12-22 11:39:00
T00163,C485,Canada,9472.65,POS,50,2025-11-12 17:50:00
T00164,C773,France,1666.38,Transfer,6,2025-05-28 06:34:00
T00165,C983,UK,5072.0,Online,34,2025-06-15 21:45:00
T00166,C431,Canada,3456.3,ATM,17,2025-01-31 20:19:00
T00167,C604,Spain,5173.49,Card,34,2025-07-07 09:05:00
